titulo,poster,genero,titulo2,url
Sonríe 2 (2024),https://image.tmdb.org/t/p/w185/mvoODLydq9vB4ikflyHaNVsAfKj.jpg,Terror Misterio,Smile 2 Sonrie 2,https://www.wflix.lat/2024/12/sonrie-2.html
Sonríe (2022),https://image.tmdb.org/t/p/w185/qJO54b6LsBmEkMxdW8ZziL9Mnam.jpg,Terror Misterio,Smile Sonrie,https://www.wflix.lat/2024/12/sonrie.html
Moana 2 (2024),https://image.tmdb.org/t/p/w185/hSjM4OPwfF3PvWsVgV6SKd6GeXJ.jpg,Animación Aventura Familia Comedia,Moana 2 Vaiana 2,https://www.wflix.lat/2024/12/moana-2.html
Alien: Romulus (2024),https://image.tmdb.org/t/p/w185/8PYqGSd8MOm5ce8io4qNSAiSExW.jpg,Terror Ciencia ficción,Alien: Romulus ,https://www.wflix.lat/2024/12/alien-romulus.html
Alien: Covenant (2017),https://image.tmdb.org/t/p/w185/245tgZ3mTHWs0NRiPSwPjKobKHf.jpg,Ciencia ficción Terror Suspense,Alien: Covenant ,https://www.wflix.lat/2024/12/alien-covenant.html
Alien vs. Depredador 2 (2007),https://image.tmdb.org/t/p/w185/3U0JSDmyqXlCOlXeCcPD5PQmp9Q.jpg,Acción Ciencia ficción Suspense Terror,Aliens vs Predator: Requiem Aliens vs. Predator 2,https://www.wflix.lat/2024/12/alien-vs-depredador-2.html
MaXXXine (2024),https://image.tmdb.org/t/p/w185/mu1YNlNz6Zx005A1IAE2JNHtAbB.jpg,Misterio Suspense Terror,MaXXXine ,https://www.wflix.lat/2024/12/maxxxine.html
Un lugar en silencio: Día uno (2024),https://image.tmdb.org/t/p/w185/6efQJ7pu9GPketUDBAhJtgZLkvD.jpg,Terror Ciencia ficción Suspense,A Quiet Place: Day One Un lugar tranquilo: Día uno,https://www.wflix.lat/2024/12/un-lugar-en-silencio-dia-uno.html
Deadpool & Wolverine (2024),https://image.tmdb.org/t/p/w185/9TFSqghEHrlBMRR63yTx80Orxva.jpg,Acción Comedia Ciencia ficción,Deadpool & Wolverine Deadpool y Lobezno,https://www.wflix.lat/2024/12/deadpool-wolverine.html
Robot salvaje (2024),https://image.tmdb.org/t/p/w185/a0a7RC01aTa7pOnskgJb3mCD2Ba.jpg,Animación Acción Ciencia ficción Familia,The Wild Robot Robot salvaje,https://www.wflix.lat/2024/12/robot-salvaje.html
Terrifier 3: Payaso Siniestro (2024),https://image.tmdb.org/t/p/w185/iaGfB2itLC8exBvfLUoadS0Q6tP.jpg,Terror Suspense,Terrifier 3 ,https://www.wflix.lat/2024/12/terrifier-3-payaso-siniestro.html
Terrifier 2: El Payaso Siniestro (2022),https://image.tmdb.org/t/p/w185/yw8NQyvbeNXoZO6v4SEXrgQ27Ll.jpg,Terror Suspense,Terrifier 2 ,https://www.wflix.lat/2024/12/terrifier-2-el-payaso-siniestro.html
Terrifier (2018),https://image.tmdb.org/t/p/w185/KIIIBoch1WEfghfxuchdk3MnQS.jpg,Terror Suspense,Terrifier ,https://www.wflix.lat/2024/12/terrifier.html
Guasón 2: Folie à Deux (2024),https://image.tmdb.org/t/p/w185/tMMYwxrPwVPrxz3DqXs8DnVIOx0.jpg,Drama Crimen Suspense,Joker: Folie à Deux ,https://www.wflix.lat/2024/12/guason-2-folie-deux.html
Jake Paul vs. Mike Tyson (2024),https://image.tmdb.org/t/p/w185/dZqlRhJBcuHNQgoxC8phKgWC6W8.jpg,Acción,Jake Paul vs. Mike Tyson ,https://www.wflix.lat/2024/12/ake-paul-vs-mike-tyson.html
Aprender a soltar (2024),https://image.tmdb.org/t/p/w185/wKxpBxdrLqXlYKTemPuYL0Y30dV.jpg,Drama,Släpp taget Aprender a soltar,https://www.wflix.lat/2024/12/aprender-soltar.html
Corte en el tiempo (2024),https://image.tmdb.org/t/p/w185/ewcah5XqF26gBd64jO02piMsTPJ.jpg,Terror Ciencia ficción Suspense,Time Cut ,https://www.wflix.lat/2024/12/corte-en-el-tiempo.html
Nos vemos la próxima Navidad (2024),https://image.tmdb.org/t/p/w185/sAHWgOY7NqxwoLZsl6HpbGDYcSc.jpg,Romance Comedia,Meet Me Next Christmas Meet Me Next Christmas,https://www.wflix.lat/2024/12/nos-vemos-la-proxima-navidad.html
¡Patos! (2023),https://image.tmdb.org/t/p/w185/diEeiB2DmZZadHISkg24RO2n0rT.jpg,Animación Acción Aventura Comedia Familia,Migration Migración. Un viaje patas arriba,https://www.wflix.lat/2024/12/patos.html
La sustancia (2024),https://image.tmdb.org/t/p/w185/w1PiIqM89r4AM7CiMEP4VLCEFUn.jpg,Terror Ciencia ficción,The Substance La sustancia,https://www.wflix.lat/2024/12/la-sustancia.html
No te muevas (2024),https://image.tmdb.org/t/p/w185/5qqzdbfdp7LBL56WRW0RmSoEm12.jpg,Terror Suspense,Don't Move No te muevas,https://www.wflix.lat/2024/12/no-te-muevas.html
Coco (2017),https://image.tmdb.org/t/p/w185/lUZZhYLLDU4g4XGQ5tvjYNVytxc.jpg,Familia Animación Música Aventura,Coco ,https://www.wflix.lat/2024/12/coco.html
Viernes negro (2023),https://image.tmdb.org/t/p/w185/aUBw4YOmew5lwsAqbOJ9CG7tmDN.jpg,Terror Misterio Suspense,Thanksgiving Black Friday,https://www.wflix.lat/2024/12/viernes-negro.html
Flow (2024),https://image.tmdb.org/t/p/w185/2PPvMc165yk0zafItbitQ2ZqZyo.jpg,Animación Fantasía Aventura,Straume Flow un mundo que salvar,https://www.wflix.lat/2024/12/flow.html
Titanic (1997),https://image.tmdb.org/t/p/w185/VMOt5scbGmBKDvkfHjZN6Ki54i.jpg,Drama Romance,Titanic ,https://www.wflix.lat/2024/12/titanic.html
Siempre a tu Lado: Hachiko (2009),https://image.tmdb.org/t/p/w185/rLPMD8BOHjvvjjCX7BZQdqNWBm2.jpg,Drama Familia,Hachi: A Dog's Tale Siempre a tu lado,https://www.wflix.lat/2024/12/siempre-tu-lado-hachiko.html
Yo Antes de Ti (2016),https://image.tmdb.org/t/p/w185/k7rVpfmFq1hlRiP5qAcK0jv08rj.jpg,Drama Romance,Me Before You Antes de ti,https://www.wflix.lat/2024/12/yo-antes-de-ti.html
No se Aceptan Devoluciones (2013),https://image.tmdb.org/t/p/w185/5h4UApKNe62K8hoUCc151kQ56Uc.jpg,Comedia Drama,No se aceptan devoluciones No se aceptan devoluciones,https://www.wflix.lat/2024/12/no-se-aceptan-devoluciones.html
Bajo La Misma Estrella (2014),https://image.tmdb.org/t/p/w185/wWtK2Kg4afUaQ2LVzQKsdcvJnLa.jpg,Romance Drama,The Fault in Our Stars Bajo la misma estrella,https://www.wflix.lat/2024/12/bajo-la-misma-estrella.html
El Niño con el Pijama de Rayas (2008),https://image.tmdb.org/t/p/w185/dZeiD0WVM1IHzRAOSldsY0jh1CR.jpg,Drama Bélica Historia,The Boy in the Striped Pyjamas El niño con el pijama de rayas,https://www.wflix.lat/2024/12/el-nino-con-el-pijama-de-rayas.html
Milagros Inesperados (1999),https://image.tmdb.org/t/p/w185/aBQiJRxGRrX0mXFMjxyzWYFtEnf.jpg,Fantasía Drama Crimen,The Green Mile La milla verde,https://www.wflix.lat/2024/12/milagros-inesperados.html
¿...Y Dónde Están las Rubias? (2004),https://image.tmdb.org/t/p/w185/sgg5mR2Iz6QV4eWkqGrTgxOERaH.jpg,Comedia Crimen,White Chicks Dos rubias de pelo en pecho,https://www.wflix.lat/2024/12/y-donde-estan-las-rubias.html
Ratatouille (2007),https://image.tmdb.org/t/p/w185/4iiW8vVjZdUbtITKmOM4Ii6oMKQ.jpg,Animación Comedia Familia Fantasía,Ratatouille Ratatouille,https://www.wflix.lat/2024/12/ratatouille.html
Crepúsculo (2008),https://image.tmdb.org/t/p/w185/40ollvfwHaVF85lkkg522SIl3Qc.jpg,Fantasía Drama Romance,Twilight Crepusculo,https://www.wflix.lat/2024/12/crepusculo.html
Crepúsculo: Luna nueva (2009),https://image.tmdb.org/t/p/w185/hyzlDaHtB15PnRMFsd9jmMJ73pO.jpg,Aventura Fantasía Drama Romance,The Twilight Saga: New Moon La saga Crepusculo: Luna nueva,https://www.wflix.lat/2024/12/crepusculo-luna-nueva.html
Crepúsculo: Eclipse (2010),https://image.tmdb.org/t/p/w185/yjfrg4H8sCst4Z5gAW0Asn7506T.jpg,Aventura Fantasía Drama Romance,The Twilight Saga: Eclipse La saga Crepusculo: Eclipse,https://www.wflix.lat/2024/12/crepusculo-eclipse.html
Crepúsculo:  Amanecer - Parte 1 (2011),https://image.tmdb.org/t/p/w185/27WlKKz9f3vMr6JvSf0LDBVdtaZ.jpg,Aventura Fantasía Romance,The Twilight Saga: Breaking Dawn - Part 1 La saga Crepusculo: Amanecer - Parte 1,https://www.wflix.lat/2024/12/crepusculo-amanecer-parte-1.html
Crepúsculo:  Amanecer - Parte 2 (2012),https://image.tmdb.org/t/p/w185/pPB3rQx0oBOmj5CHZxLWgexo5nS.jpg,Aventura Fantasía Drama Romance,The Twilight Saga: Breaking Dawn - Part 2 La saga Crepusculo: Amanecer - Parte 2,https://www.wflix.lat/2024/12/crepusculo-amanecer-parte-2.html
Proyecto X (2012),https://image.tmdb.org/t/p/w185/owF9NIcQOPFAOjp2pni8BsVlnRq.jpg,Comedia,Project X Project X,https://www.wflix.lat/2024/12/proyecto-x.html
Guardianes de la galaxia (2014),https://image.tmdb.org/t/p/w185/rzEmtM8qrvRKNdJUUiizdNHTccV.jpg,Acción Ciencia ficción Aventura,Guardians of the Galaxy Guardianes de la galaxia,https://www.wflix.lat/2024/12/guardianes-de-la-galaxia.html
Guardianes de la Galaxia 2 (2017),https://image.tmdb.org/t/p/w185/kdg6Y06jfq9FV7qknWNcKLYtBJn.jpg,Ciencia ficción Aventura Acción,Guardians of the Galaxy Vol. 2 Guardianes de la galaxia Vol. 2,https://www.wflix.lat/2024/12/guardianes-de-la-galaxia-2.html
Guardianes de la Galaxia 3 (2023),https://image.tmdb.org/t/p/w185/6GkKzdNosVAL7UGgwTtCHSxLQ67.jpg,Ciencia ficción Aventura Acción,Guardians of the Galaxy Vol. 3 Guardianes de la Galaxia: Volumen 3,https://www.wflix.lat/2024/12/guardianes-de-la-galaxia-volumen-3.html
El hombre araña (2002),https://image.tmdb.org/t/p/w185/bCDaKZLRkrVVtPNyHxUfKvepW1N.jpg,Acción Ciencia ficción,Spider-Man ,https://www.wflix.lat/2024/12/el-hombre-arana.html
El hombre araña 2 (2004),https://image.tmdb.org/t/p/w185/p9R3lUNzpHnivyGpKwEPUNGdmmH.jpg,Acción Aventura Ciencia ficción,Spider-Man 2 ,https://www.wflix.lat/2024/12/el-hombre-arana-2.html
El hombre araña 3 (2007),https://image.tmdb.org/t/p/w185/lkuQzlShE2uzJcsZYU4zBI4VQZP.jpg,Acción Aventura Ciencia ficción,Spider-Man 3 ,https://www.wflix.lat/2024/12/el-hombre-arana-3.html
Harry Potter y la piedra filosofal (2001),https://image.tmdb.org/t/p/w185/7xXJ15VEf7G9GdAuV1dO769yC73.jpg,Aventura Fantasía,Harry Potter and the Philosopher's Stone Harry Potter y la piedra filosofal,https://www.wflix.lat/2024/12/harry-potter-y-la-piedra-filosofal.html
Harry Potter y la cámara secreta (2002),https://image.tmdb.org/t/p/w185/bhCfAzeMMg7GyLDT11yVM2i1NPh.jpg,Aventura Fantasía,Harry Potter and the Chamber of Secrets Harry Potter y la cámara secreta,https://www.wflix.lat/2024/12/harry-potter-y-la-camara-secreta.html
Harry Potter y el prisionero de Azkaban (2004),https://image.tmdb.org/t/p/w185/wF9aoo4YZmpKP4bZPSy4Zwwek6G.jpg,Aventura Fantasía,Harry Potter and the Prisoner of Azkaban Harry Potter y el prisionero de Azkaban,https://www.wflix.lat/2024/12/harry-potter-y-el-prisionero-de-azkaban.html
Harry Potter y el cáliz de fuego (2005),https://image.tmdb.org/t/p/w185/6Cn5Lx9kqhXzTNV5QXwZ3RW5pBg.jpg,Aventura Fantasía,Harry Potter and the Goblet of Fire Harry Potter y el cáliz de fuego,https://www.wflix.lat/2024/12/harry-potter-y-el-caliz-de-fuego.html
Harry Potter y la orden del Fénix (2007),https://image.tmdb.org/t/p/w185/zN5DWGV6IO30asXrHzGju9mo20P.jpg,Aventura Fantasía,Harry Potter and the Order of the Phoenix Harry Potter y la Orden del Fénix,https://www.wflix.lat/2024/12/harry-potter-y-la-orden-del-fenix.html
Harry Potter y el misterio del príncipe (2009),https://image.tmdb.org/t/p/w185/vvb9r7ZH4Zn35sXIwFTb08lMGaU.jpg,Aventura Fantasía,Harry Potter and the Half-Blood Prince Harry Potter y el misterio del príncipe,https://www.wflix.lat/2024/12/harry-potter-y-el-misterio-del-principe.html
Harry Potter y las Reliquias de la Muerte - Parte 1 (2010),https://image.tmdb.org/t/p/w185/fYyoJ4Yadk0MCBHZPFrgvMDl50o.jpg,Aventura Fantasía,Harry Potter and the Deathly Hallows: Part 1 Harry Potter y las Reliquias de la Muerte - Parte 1,https://www.wflix.lat/2024/12/harry-potter-y-las-reliquias-de-la.html
Harry Potter y las reliquias de la Muerte - Parte 2 (2011),https://image.tmdb.org/t/p/w185/aM1TuUiPtV8OAZyu61CTdy9Ymtk.jpg,Fantasía Aventura,Harry Potter and the Deathly Hallows: Part 2 Harry Potter y las Reliquias de la Muerte - Parte 2,https://www.wflix.lat/2024/12/harry-potter-y-las-reliquias-de-la_17.html
El Hobbit: Un viaje inesperado (2012),https://image.tmdb.org/t/p/w185/2Also6fDCjczi6xEFYFOqiau3f7.jpg,Aventura Fantasía Acción,The Hobbit: An Unexpected Journey El hobbit: Un viaje inesperado,https://www.wflix.lat/2024/12/el-hobbit-un-viaje-inesperado.html
El Hobbit 2: La Desolación de Smaug (2013),https://image.tmdb.org/t/p/w185/m8uQ5swzBLRyY19UwqCsVK2fM7C.jpg,Fantasía Aventura Acción,The Hobbit: The Desolation of Smaug El hobbit: La desolación de Smaug,https://www.wflix.lat/2024/12/el-hobbit-2-la-desolacion-de-smaug.html
El Hobbit 3: La Batalla de Los Cinco Ejércitos (2014),https://image.tmdb.org/t/p/w185/6OiNSLcRKJsBLXwb6DEi6IQ0JFk.jpg,Acción Aventura Fantasía,The Hobbit: The Battle of the Five Armies El hobbit: La batalla de los cinco ejércitos,https://www.wflix.lat/2024/12/el-hobbit-3-la-batalla-de-los-cinco.html
La Bruja (2016),https://image.tmdb.org/t/p/w185/yN7zUze3fkbGNNHI1JYVpRixzAx.jpg,Terror Drama Misterio,The Witch La bruja,https://www.wflix.lat/2024/12/la-bruja.html
Baby: El aprendiz del crimen (2017),https://image.tmdb.org/t/p/w185/o2YToge3eBhxC89m87zkWKVEx2O.jpg,Acción Crimen,Baby Driver ,https://www.wflix.lat/2024/12/baby-el-aprendiz-del-crimen.html
Eterno resplandor de una mente sin recuerdos (2004),https://image.tmdb.org/t/p/w185/l5yopdLguxJsJVmMK3RgMCW2JmJ.jpg,Ciencia ficción Drama Romance,Eternal Sunshine of the Spotless Mind ¡Olvídate de mí!,https://www.wflix.lat/2024/12/eterno-resplandor-de-una-mente-sin.html
Los Aristogatos (1970),https://image.tmdb.org/t/p/w185/s9DsxlbVE1HvHnCz50GdHDBeZRy.jpg,Animación Comedia Familia Aventura,The Aristocats Los aristogatos,https://www.wflix.lat/2024/12/los-aristogatos.html
Saw (2004),https://image.tmdb.org/t/p/w185/k9h1Don5JWNhLMAjspwbiMMoDzS.jpg,Terror Misterio Crimen,Saw El juego del miedo,https://www.wflix.lat/2024/12/saw.html
Saw II (2005),https://image.tmdb.org/t/p/w185/gw7nQp0rXmEF81SvumCXWx7U5nb.jpg,Terror,Saw II El juego del miedo 2,https://www.wflix.lat/2024/12/saw-ii.html
Saw III (2006),https://image.tmdb.org/t/p/w185/4iO9n24Rb10peXV0JH2EldIOrAp.jpg,Terror Suspense Crimen,Saw III El juego del miedo 3,https://www.wflix.lat/2024/12/saw-iii.html
Saw IV (2007),https://image.tmdb.org/t/p/w185/cSIAfVlrE065RnYRJKIgmRIXQKp.jpg,Terror Suspense Crimen,Saw IV El juego del miedo 4,https://www.wflix.lat/2024/12/saw-iv.html
Saw V (2008),https://image.tmdb.org/t/p/w185/1kxceLYLH3QB8QgtJeTDAQm1fjP.jpg,Terror Suspense Crimen,Saw V El juego del miedo 5,https://www.wflix.lat/2024/12/saw-v.html
Saw VI (2009),https://image.tmdb.org/t/p/w185/xeRsqKxQyMemmBZ4BSkzhwVPeud.jpg,Terror Suspense,Saw VI El juego del miedo 6,https://www.wflix.lat/2024/12/saw-vi.html
Saw VII (2010),https://image.tmdb.org/t/p/w185/9rhs2v1hUiU6BsuzDlLgZZdD4FF.jpg,Terror Crimen,Saw 3D El juego del miedo 7,https://www.wflix.lat/2024/12/saw-vii.html
Saw VIII (2017),https://image.tmdb.org/t/p/w185/90T0Cjx2yl6RaFhxas1eKnCphh5.jpg,Terror Misterio Suspense,Jigsaw Jigsaw: El Juego Continúa,https://www.wflix.lat/2024/12/saw-viii.html
Spiral: Saw IX (2021),https://image.tmdb.org/t/p/w185/97WyFdS8pQerysSSGezafXHW5ZH.jpg,Terror Misterio,Spiral: From the Book of Saw Espiral: El juego del miedo continúa,https://www.wflix.lat/2024/12/spiral-saw-9.html
Saw X (2023),https://image.tmdb.org/t/p/w185/nzVkXj1IX0BNoYzpTVogtkcCStf.jpg,Terror Misterio Suspense,Saw X Saw X: El juego del miedo,https://www.wflix.lat/2024/12/saw-x.html
El legado del diablo (2018),https://image.tmdb.org/t/p/w185/oE5TS72U6tNdXKK42HpF2NULv4u.jpg,Terror Misterio Suspense,Hereditary ,https://www.wflix.lat/2024/12/el-legado-del-diablo.html
Toy Story (1995),https://image.tmdb.org/t/p/w185/jvn7wy3RSNEXnFSXLpH2of2LcV6.jpg,Animación Aventura Familia Comedia,Toy Story Toy Story (Juguetes),https://www.wflix.lat/2024/12/toy-story.html
Toy Story 2 (1999),https://image.tmdb.org/t/p/w185/8OTDKkJv2jXg5ZHKazFxBAttKkR.jpg,Animación Comedia Familia,Toy Story 2 Toy Story 2: los juguetes vuelven a la carga,https://www.wflix.lat/2024/12/toy-story-2.html
Toy Story 3 (2010),https://image.tmdb.org/t/p/w185/pb547eLMX6XBV5U98BSGRYmM2VW.jpg,Animación Familia Comedia,Toy Story 3 ,https://www.wflix.lat/2024/12/toy-story-3.html
Toy Story 4 (2019),https://image.tmdb.org/t/p/w185/yF1vPDuHVrAUMX5dy1tVMbAjkEL.jpg,Familia Aventura Animación Comedia Fantasía,Toy Story 4 ,https://www.wflix.lat/2024/12/toy-story-4.html
El Justiciero (2014),https://image.tmdb.org/t/p/w185/6Hqn3WfEEdgQ5LW81XQiQUioD3q.jpg,Suspense Acción Crimen,The Equalizer The equalizer (El protector),https://www.wflix.lat/2024/12/el-justiciero.html
El Justiciero 2 (2018),https://image.tmdb.org/t/p/w185/vK3jlzFcVDpKcesPEoZgHTPYCZn.jpg,Acción Suspense Crimen,The Equalizer 2 ,https://www.wflix.lat/2024/12/el-justiciero-2.html
El Justiciero 3: Capítulo final (2023),https://image.tmdb.org/t/p/w185/eJKmexmCLwuxOxlAURSMnBVkfmY.jpg,Acción Suspense Crimen,The Equalizer 3 ,https://www.wflix.lat/2024/12/el-justiciero-3-capitulo-final.html
Shrek (2001),https://image.tmdb.org/t/p/w185/jTQONM7jt1yv2lL972TtmWO0UIZ.jpg,Animación Comedia Fantasía Aventura Familia,Shrek ,https://www.wflix.lat/2024/12/shrek.html
Shrek 2 (2004),https://image.tmdb.org/t/p/w185/knRt4E8KyfwEv0SVu9LsLvD28IQ.jpg,Animación Familia Comedia Fantasía Aventura Romance,Shrek 2 ,https://www.wflix.lat/2024/12/shrek-2.html
Shrek 3 Tercero (2007),https://image.tmdb.org/t/p/w185/7sTwtmVPTX77CFOUXdwAM7lKtKL.jpg,Fantasía Aventura Animación Comedia Familia,Shrek the Third Shrek tercero,https://www.wflix.lat/2024/12/shrek-tercero.html
Shrek 4: Para Siempre (2010),https://image.tmdb.org/t/p/w185/3MyKXb1ozCfq61tPNKpIggwvP6J.jpg,Comedia Aventura Fantasía Animación Familia,Shrek Forever After Shrek: Felices para siempre,https://www.wflix.lat/2024/12/shrek-4-para-siempre.html
Frozen: Una Aventura Congelada (2013),https://image.tmdb.org/t/p/w185/hAKhrHvzQDUHQP5zd5HFeqF2BCN.jpg,Animación Familia Aventura Fantasía,Frozen Frozen: El reino del hielo,https://www.wflix.lat/2024/12/frozen-una-aventura-congelada.html
Frozen 2 (2019),https://image.tmdb.org/t/p/w185/jnFCk7qGGWop2DgfnJXeKLZFuBq.jpg,Familia Animación Aventura Comedia Fantasía,Frozen II Frozen 2,https://www.wflix.lat/2024/12/frozen-2.html
Zootopia (2016),https://image.tmdb.org/t/p/w185/i3WnZpJkQYXXbSGplEGmyoyeskM.jpg,Animación Aventura Familia Comedia,Zootopia Zootrópolis,https://www.wflix.lat/2024/12/zootopia.html
La era de hielo (2002),https://image.tmdb.org/t/p/w185/9rpdhn7p7mDZW2rUXsINf9c6sR5.jpg,Animación Comedia Familia Aventura,Ice Age Ice Age: La edad de hielo,https://www.wflix.lat/2024/12/la-era-de-hielo.html
La era de hielo 2 (2006),https://image.tmdb.org/t/p/w185/wnBEdWq5gplaAgTmYFg4cq89mWi.jpg,Animación Familia Comedia Aventura,Ice Age: The Meltdown Ice Age 2: El deshielo,https://www.wflix.lat/2024/12/la-era-de-hielo-2.html
